"geneID"	"percentMeth"
"g11128"	0
"g11129"	0
"g1113"	0
"g11130"	0
"g11131"	0
"g11132"	0
"g11133"	0
"g11134"	0
"g11135"	0
"g11136"	0
"g11137"	0
"g11138"	0
"g1114"	0
"g11140"	0
"g11141"	0
"g11142"	0
"g11143"	0
"g11144"	0
"g11145"	0
"g11146"	0
"g11147"	0
"g11148"	0
"g11149"	18.75
"g1115"	0
"g11150"	0
"g11151"	0
"g11152"	0
"g11153"	0
"g11154"	0
"g11155"	0
"g11156"	87.5
"g11157"	100
"g11158"	92.307692
"g1116"	0
"g11160"	5
"g11161"	0
"g11162"	50
"g11163"	77.777778
"g11164"	77.777778
"g11165"	0
"g11166"	0
"g11167"	0
"g11168"	0
"g11169"	55.555556
"g1117"	0
"g11170"	0
"g11171"	15
"g11173"	0
"g11175"	3.333333
"g11176"	0
"g11177"	0
"g11178"	0
"g11179"	44.444444
"g1118"	0
"g11181"	3.954176
"g11182"	0
"g11183"	0
"g11184"	12.5
"g11185"	0
"g11186"	0
"g11187"	0
"g11189"	100
"g1119"	3.846154
"g11190"	0
"g11191"	0
"g11192"	0
"g11193"	0
"g11194"	0
"g11195"	0
"g11196"	0
"g11197"	0
"g11198"	0
"g11199"	0
"g112"	8.333333
"g1120"	0
"g11200"	0
"g11201"	0
"g11202"	0
"g11203"	1.5625
"g11204"	0
"g11205"	0
"g11206"	0
"g11207"	0
"g11208"	0
"g11209"	0
"g1121"	0
"g11210"	0
"g11211"	0
"g11212"	0
"g11213"	0
"g11214"	0
"g11215"	0
"g11216"	0
"g11217"	0
"g11218"	0
"g11219"	0
"g1122"	0
"g11220"	80
"g11221"	65.1515155
"g11222"	42.857143
"g11223"	83.333333
"g11224"	0
"g11225"	0
"g11226"	0
"g11227"	0
"g11228"	25
"g11229"	100
"g1123"	0
"g11230"	0
"g11231"	0
"g11232"	0
"g11233"	0
"g11234"	0
"g11235"	0
"g11236"	0
"g11237"	0
"g11239"	0
"g1124"	0
"g11240"	0
"g11241"	0
"g11242"	0
"g11243"	66.666667
"g11244"	80
"g11245"	0
"g11246"	0
"g11247"	0
"g11248"	0
"g11249"	0
"g1125"	0
"g11250"	0
"g11251"	0
"g11252"	0
"g11253"	0
"g11254"	0
"g11255"	0
"g11256"	93.75
"g11257"	64.7727275
"g11258"	0
"g11259"	0
"g1126"	0
"g11260"	0
"g11261"	0
"g11263"	0
"g11264"	0
"g11265"	0
"g11266"	0
"g11267"	0
"g11268"	0
"g11269"	0
"g1127"	16.666667
"g11270"	0
"g11271"	0
"g11272"	0
"g11273"	0
"g11274"	0
"g11275"	81.6666665
"g11276"	100
"g11277"	50
"g11279"	0
"g1128"	30.769231
"g11280"	25
"g11281"	0
"g11282"	0
"g11283"	0
"g11284"	0
"g11285"	0
"g11286"	0
"g11287"	25
"g11288"	88.888889
"g11289"	87.5
"g1129"	100
"g11290"	60
"g11291"	0
"g11292"	0
"g11293"	0
"g11294"	0
"g11295"	0
"g11296"	0
"g11297"	0
"g11298"	0
"g11299"	0
"g113"	0
"g1130"	80
"g11300"	0
"g11301"	0
"g11302"	0
"g11303"	0
"g11304"	0
"g11305"	100
"g11307"	50
"g11308"	25
"g11309"	0
"g1131"	0
"g11310"	0
"g11311"	0
"g11312"	0
"g11313"	0
"g11314"	0
"g11315"	0
"g11316"	0
"g11317"	0
"g11318"	0
"g11319"	42.261905
"g1132"	0
"g11320"	55.681818
"g11321"	0
"g11322"	90.909091
"g11323"	45.454545
"g11324"	14.285714
"g11325"	14.285714
"g11327"	0
"g11328"	0
"g11329"	0
"g1133"	0
"g11330"	0
"g11331"	0
"g11332"	0
"g11333"	0
"g11334"	0
"g11335"	0
"g11336"	0
"g11338"	0
"g11339"	0
"g1134"	0
"g11342"	0
"g11343"	0
"g11344"	0
"g11345"	0
"g11346"	0
"g11347"	0
"g11349"	0
"g1135"	0
"g11350"	0
"g11351"	0
"g11352"	0
"g11353"	0
"g11354"	0
"g11355"	0
"g11356"	0
"g11357"	0
"g11358"	0
"g11359"	0
"g1136"	0
"g11362"	0
"g11363"	0
"g11364"	0
"g11365"	0
"g11366"	0
"g11367"	0
"g11368"	0
"g11369"	0
"g1137"	0
"g11370"	3.6585365
"g11371"	0
"g11372"	0
"g11373"	0
"g11374"	100
"g11375"	0
"g11376"	4.5454545
"g11377"	55
"g11378"	0
"g11379"	0
"g1138"	0
"g11380"	77.777778
"g11381"	0
"g11382"	0
"g11383"	77.3504275
"g11384"	0
"g11386"	18.0555555
"g11387"	0
"g11388"	0
"g11389"	0
"g1139"	0
"g11390"	0
"g11391"	0
"g11392"	0
"g11394"	0
"g11395"	16.6666665
"g11396"	47.8021975
"g11397"	92.857143
"g11398"	25
"g11399"	100
"g114"	0
"g1140"	0
"g11400"	0
"g11401"	0
"g11402"	0
"g11403"	0
"g11404"	0
"g11405"	0
"g11406"	0
"g11407"	0
"g11408"	0
"g1141"	0
"g11410"	0
"g11411"	0
"g11412"	0
"g11413"	0
"g11414"	0
"g11416"	0
"g11417"	0
"g11418"	0
"g11419"	0
