"","PolyA_1101","PolyA_1548","PolyA_1628","RiboDep_1101","RiboDep_1548","RiboDep_1628"
"g42986",0,0,0,17,54,47
"g42987",0,0,0,9,10,6
"g42988",0,0,0,9,15,19
"g42989",0,0,0,24,20,34
"g42990",0,0,0,15,16,17
"g42991",0,0,2,24,30,20
"g42993",0,0,0,7,32,31
"g42997",0,0,9,15,22,32
"g42998",0,0,0,4,20,11
"g43007",0,0,0,34,18,33
"g43008",0,0,0,16,35,23
"g43009",0,0,0,15,28,22
"g43010",0,0,0,5,12,14
"g43013",0,0,0,24,16,15
"g43024",0,3,0,32,46,30
"g43025",0,4,8,35,52,33
"g43028",0,0,0,8,23,9
"g43059",0,0,0,2,5,3
"g43062",0,0,3,26,63,37
"g43064",0,0,0,4,5,4
"g43065",0,0,0,9,8,10
"g43066",0,0,10,25,25,33
"g43078",0,0,0,8,10,5
"g43081",0,0,0,6,11,10
"g43082",0,0,0,43,56,35
"g43086",0,0,0,33,46,15
"g43087",0,0,0,25,44,4
"g43088",0,0,0,16,48,42
"g43089",0,0,0,4,8,6
"g43090",0,0,0,4,11,8
"g43091",0,0,0,10,13,3
"g43092",0,0,0,10,11,23
"g43093",0,0,0,4,3,2
"g43102",0,0,0,2,4,4
"g43109",0,0,0,8,20,9
"g43127",0,0,0,10,17,35
"g43135",0,0,0,1,6,3
"g43138",0,0,0,31,23,9
"g43140",0,0,0,21,13,30
"g43141",0,0,10,13,25,6
"g43146",0,0,0,16,18,7
"g43151",0,0,1,39,62,67
"g43153",0,0,14,38,60,40
"g43169",0,1,0,3,11,8
"g43185",0,0,0,6,8,8
"g43186",0,3,0,3,3,7
"g43187",0,0,0,4,29,8
"g43227",0,0,1,7,27,4
"g43307",0,2,0,40,57,44
"g43308",0,1,0,27,50,51
"g43315",0,0,0,9,7,14
"g43346",0,0,0,23,63,75
"g43352",0,0,0,3,1,18
"g43363",0,3,3,17,30,26
"g43369",0,0,0,8,9,8
"g43375",0,0,0,13,21,19
"g43382",0,0,0,15,21,18
"g43387",0,4,0,10,33,23
"g43389",0,7,0,30,19,29
"g43397",0,0,0,23,31,13
"g43409",0,2,4,28,40,38
"g43419",0,0,0,18,35,29
"g43435",0,0,0,12,12,12
"g43437",0,0,0,33,24,25
"g43448",0,0,0,6,9,3
"g43464",0,0,0,2,18,5
"g43503",0,0,0,9,6,40
"g43505",0,0,0,9,2,25
"g43597",0,0,0,3,6,13
"g43610",0,0,0,5,3,9
"g43611",0,0,0,11,33,21
"g43623",0,0,0,1,25,15
"g43630",0,0,0,2,17,20
"g43634",0,0,0,17,12,19
"g43635",0,0,0,9,13,14
"g43636",0,29,20,20,28,42
"g43641",0,0,2,14,16,18
"g43642",0,0,0,16,32,26
"g43643",0,0,0,10,16,15
"g43644",0,0,0,43,43,35
"g43645",0,0,0,30,72,41
"g43646",0,0,0,14,19,17
"g43659",0,0,0,21,23,28
"g43698",0,0,0,10,11,3
"g43738",0,0,0,22,35,22
"g43744",0,0,0,5,14,9
"g43746",0,0,0,21,19,17
"g43747",0,0,0,19,22,19
"g43748",0,1,0,19,26,24
"g43749",0,0,0,20,26,32
"g43753",0,0,0,12,36,15
"g43755",0,0,0,24,23,10
"g43756",0,0,0,24,16,14
"g43758",0,0,0,13,24,17
"g43759",0,0,0,50,93,99
"g43767",0,0,0,24,8,4
"g43778",0,6,1,5,24,8
"g43800",0,10,4,40,78,40
"g43829",0,1,0,3,2,2
"g43859",0,0,0,13,17,23
"g43861",0,0,0,8,21,18
"g43862",0,0,0,12,14,10
"g43863",0,0,0,37,83,56
"g43864",0,0,3,3,19,10
"g43866",0,0,8,60,116,73
"g43883",0,0,0,17,37,11
"g43892",0,0,0,30,49,40
"g43894",0,0,0,14,10,8
"g43895",0,0,0,8,19,14
"g43896",0,0,0,9,15,10
"g43902",0,0,0,6,21,27
"g43903",0,8,0,43,55,34
"g43927",0,0,0,9,24,19
"g43947",0,0,0,8,7,6
"g43956",0,0,0,29,60,48
"g43972",0,0,0,38,51,42
"g43973",0,0,0,3,19,11
"g43976",0,0,8,0,41,38
"g43978",0,7,0,23,26,34
"g43983",0,0,0,5,27,37
"g43984",0,0,0,10,32,30
"g43989",0,0,0,7,11,11
"g43990",0,0,0,21,34,43
"g43991",0,0,0,23,60,37
"g43993",0,0,0,35,29,20
"g43997",0,0,0,10,3,21
"g44004",0,0,0,12,25,14
"g44005",0,13,15,19,21,26
"g44006",0,0,0,5,4,12
"g44009",0,2,0,11,19,8
"g44011",0,0,0,84,157,135
"g44014",0,0,0,5,12,6
"g44015",0,0,0,11,6,8
"g44016",0,0,0,6,13,12
"g44017",0,0,0,6,15,10
"g44021",0,0,0,7,14,10
"g44028",0,0,0,13,30,12
"g44030",0,0,0,36,67,28
"g44033",0,0,4,9,5,4
"g44064",0,0,0,18,14,27
"g44101",0,0,0,4,12,35
"g44105",0,2,0,6,6,9
"g44109",0,0,0,9,14,26
"g44121",0,8,2,60,118,154
"g44139",0,0,0,12,23,22
"g44140",0,0,0,33,48,44
"g44143",0,0,6,44,71,81
"g44183",0,0,0,3,26,5
"g44184",0,0,0,51,107,80
"g44235",0,1,0,2,0,6
"g44236",0,0,0,8,17,4
"g44240",0,0,0,17,15,18
"g44241",0,0,0,7,8,10
"g44242",0,0,0,32,40,32
"g44245",0,0,0,11,15,6
"g44246",0,0,0,3,12,5
"g44249",0,0,0,5,9,7
"g44250",0,0,0,21,27,17
"g44251",0,0,0,50,66,47
"g44252",0,0,0,13,43,25
"g44258",0,0,0,20,20,26
"g44259",0,0,3,10,15,11
"g44261",0,0,0,29,7,8
"g44262",0,0,0,18,36,29
"g44263",0,0,0,6,18,13
"g44268",0,0,0,9,10,17
"g44269",0,0,0,24,8,12
"g44270",0,1,0,13,38,12
"g44271",0,0,0,26,33,13
"g44272",0,0,0,28,15,10
"g44273",0,0,0,7,1,8
"g44274",0,0,0,36,33,37
"g44275",0,0,0,7,6,16
"g44277",0,0,0,39,29,20
"g44278",0,0,0,39,22,17
"g44282",0,0,0,7,8,4
"g44288",0,0,0,12,2,12
"g44293",0,0,0,8,10,20
"g44294",0,0,0,14,19,19
"g44297",0,0,0,33,31,24
"g44303",0,0,3,22,14,18
"g44304",0,0,0,15,21,13
"g44305",0,0,0,26,40,10
"g44306",0,0,0,6,30,9
"g44307",0,0,0,33,39,37
"g44308",0,0,0,20,22,35
"g44309",0,0,0,29,39,23
"g44313",0,0,0,9,10,5
"g44317",0,0,0,16,11,1
"g44320",0,0,0,25,30,47
"g44322",0,0,0,48,100,11
"g44323",0,0,0,3,13,24
"g44327",0,8,5,35,176,70
"g44329",0,0,0,7,12,7
"g44330",0,4,0,82,102,128
"g44331",0,0,0,9,10,8
"g44334",0,0,0,62,23,35
"g44335",0,0,0,13,4,7
"g44337",0,0,0,19,5,12
"g44338",0,0,0,1,13,15
"g44339",0,0,0,67,44,27
"g44343",0,0,0,13,1,24
"g44346",0,0,0,15,4,7
"g44347",0,0,0,7,6,2
"g44350",0,0,3,31,41,33
"g44354",0,0,0,10,2,12
"g44355",0,0,0,9,3,2
"g44360",0,0,0,36,21,12
"g44370",0,0,4,39,68,40
"g44371",0,0,0,9,4,3
"g44378",0,0,0,7,9,10
"g44386",0,0,0,12,4,20
"g44388",0,0,0,17,1,1
"g44439",0,0,0,5,26,11
"g44451",0,0,0,3,24,13
"g44454",0,0,0,217,262,115
"g44456",0,0,0,6,38,22
"g44457",0,0,0,8,33,13
"g44459",0,0,0,1,19,9
"g44469",0,0,0,8,6,18
"g44475",0,0,1,8,7,11
"g44479",0,0,0,5,17,23
"g44481",0,0,0,2,35,28
"g44482",0,0,0,1,27,12
"g44483",0,0,0,9,47,35
"g44484",0,0,0,1,12,9
"g44522",0,0,0,34,15,18
"g44523",0,0,0,122,204,178
"g44524",0,0,0,8,4,11
"g44530",0,11,0,22,43,39
"g44538",0,0,0,4,15,4
"g44548",0,0,0,16,36,31
"g44549",0,0,5,42,68,57
"g44552",0,0,0,5,14,14
"g44553",0,0,15,69,98,63
"g44557",0,0,0,18,12,2
"g44560",0,0,4,22,18,40
"g44562",0,0,0,9,8,3
"g44576",0,0,4,17,11,12
"g44581",0,0,0,21,29,37
"g44610",0,0,0,24,23,38
"g44612",0,0,0,25,34,9
"g44615",0,0,1,11,25,20
"g44617",0,3,0,29,62,43
"g44618",0,3,0,20,30,31
"g44619",0,4,0,45,58,44
"g44622",0,0,0,16,9,11
"g44623",0,0,0,29,35,45
"g44624",0,0,0,18,73,8
"g44625",0,10,0,12,32,7
"g44627",0,0,0,9,12,1
"g44630",0,0,0,11,11,13
"g44637",0,8,0,5,30,22
"g44665",0,3,16,15,45,42
"g44673",0,2,5,10,15,7
"g44685",0,0,0,8,16,18
"g44687",0,0,0,12,18,24
"g44688",0,0,7,0,45,20
"g44698",0,1,0,0,11,7
"g44699",0,0,4,9,19,9
"g44724",0,0,0,7,14,9
"g44725",0,0,0,1,11,9
"g44732",0,6,24,27,27,48
"g44733",0,10,8,49,75,53
"g44734",0,0,0,3,6,4
"g44739",0,2,2,13,52,25
"g44742",0,0,0,5,3,16
"g44744",0,2,0,22,33,27
"g44747",0,0,0,14,1,17
"g44748",0,0,0,19,6,37
"g44758",0,0,0,13,10,9
"g44759",0,0,0,2,3,7
"g44760",0,0,0,12,22,19
"g44763",0,31,16,9,64,49
"g44767",0,0,0,4,9,11
"g44772",0,2,0,7,13,9
"g44775",0,0,0,2,4,1
"g44780",0,0,0,8,13,7
"g44786",0,0,0,4,27,26
"g44794",0,0,0,77,126,125
"g44807",0,0,0,16,8,19
"g44810",0,0,0,7,13,5
"g44813",0,0,0,5,3,10
"g44818",0,0,0,4,17,11
"g44841",0,0,0,10,23,18
"g44842",0,1,1,28,38,49
"g44845",0,0,0,4,3,12
"g44865",0,2,0,7,13,9
"g44871",0,3,1,23,28,24
"g44873",0,0,0,19,18,9
"g44874",0,0,0,8,24,12
"g44875",0,0,0,43,50,37
"g44893",0,0,0,6,18,4
"g44901",0,0,1,7,12,9
"g44902",0,0,2,11,19,9
"g44975",0,0,0,1,3,8
"g44976",0,0,0,2,3,6
"g44985",0,0,0,3,3,9
"g44986",0,0,0,11,11,7
"g44987",0,0,0,39,11,48
"g44988",0,0,0,39,52,21
"g44996",0,0,0,28,27,24
"g44997",0,0,0,8,24,6
"g44998",0,0,0,4,23,13
"g44999",0,0,0,24,30,42
"g45000",0,0,0,19,20,8
"g45001",0,0,0,11,12,19
"g45003",0,0,0,11,8,4
"g45005",0,0,0,14,39,34
"g45006",0,0,0,9,25,14
"g45007",0,0,0,19,45,30
"g45012",0,0,0,24,14,7
"g45014",0,0,0,1,3,2
"g45015",0,0,0,8,9,4
"g45018",0,0,0,4,6,1
"g45019",0,0,0,7,9,8
"g45021",0,0,0,19,5,28
"g45025",0,0,0,3,2,3
"g45026",0,0,0,20,56,20
"g45029",0,0,2,2,9,9
"g45030",0,0,5,17,41,44
"g45031",0,0,0,1,8,2
"g45032",0,0,0,4,5,4
"g45038",0,0,0,17,23,14
"g45040",0,0,0,7,6,4
"g45042",0,0,0,7,27,14
"g45043",0,4,3,24,112,63
"g45050",0,2,0,4,24,17
"g45060",0,0,0,3,15,2
"g45061",0,0,0,1,55,20
"g45064",0,1,1,13,24,21
"g45070",0,0,0,8,3,5
"g45072",0,0,0,10,2,8
"g45074",0,0,0,1,3,1
"g45080",0,0,0,9,6,17
"g45081",0,0,0,34,10,27
"g45082",0,0,0,2,6,6
"g45087",0,4,0,2,9,12
"g45088",0,0,0,8,10,14
"g45127",0,0,0,8,40,6
"g45128",0,0,0,9,8,2
"g45170",0,0,1,5,12,11
"g45171",0,0,0,1,15,4
"g45187",0,0,1,0,11,13
"g45195",0,0,0,6,8,9
"g45196",0,0,3,10,16,20
"g45199",0,0,0,10,14,13
"g45200",0,0,0,14,30,17
"g45201",0,0,0,49,61,34
"g45202",0,0,0,8,20,9
"g45203",0,0,0,12,38,11
"g45204",0,0,12,12,31,10
"g45205",0,0,0,16,24,27
"g45358",0,0,0,40,118,68
"g45383",0,0,0,11,10,4
"g45399",0,0,0,19,29,22
"g45402",0,0,0,37,26,25
"g45409",0,1,0,2,49,53
"g45436",0,0,0,3,15,27
"g45437",0,0,0,7,34,57
"g45439",0,0,0,5,30,20
"g45440",0,0,0,4,20,12
"g45465",0,0,0,16,7,24
"g45466",0,0,0,9,10,11
"g45467",0,0,0,16,9,14
"g45490",0,0,0,32,36,33
"g45491",0,0,0,33,27,25
"g45495",0,0,1,33,40,8
"g45523",0,0,0,4,12,9
"g45524",0,0,0,15,14,18
"g45584",0,0,0,15,23,33
"g45591",0,0,0,23,57,49
"g45599",0,0,0,15,20,14
"g45603",0,0,0,20,28,21
"g45604",0,0,0,10,34,21
"g45605",0,0,0,14,37,32
"g45607",0,0,0,4,31,26
"g45608",0,0,0,25,30,21
"g45611",0,0,0,15,24,15
"g45612",0,0,0,72,91,69
"g45613",0,0,0,26,51,20
"g45614",0,0,0,12,21,17
"g45615",0,0,0,4,15,16
"g45616",0,0,0,77,77,66
"g45617",0,0,0,30,39,26
"g45618",0,0,3,12,29,26
"g45619",0,0,0,30,40,58
"g45620",0,0,0,33,92,50
"g45621",0,0,0,8,25,12
"g45622",0,0,0,6,15,9
"g45623",0,0,0,20,36,30
"g45624",0,0,0,27,37,23
"g45625",0,0,0,61,77,69
"g45626",0,0,0,70,118,65
"g45627",0,0,0,56,83,58
"g45628",0,2,0,17,34,33
"g45629",0,0,0,48,61,42
"g45630",0,0,0,28,40,21
"g45631",0,0,0,17,39,25
"g45634",0,0,0,12,14,7
"g45636",0,0,0,15,17,22
"g45637",0,0,0,23,78,19
"g45638",0,0,0,4,10,7
"g45639",0,0,0,11,36,27
"g45641",0,0,0,13,23,21
"g45642",0,0,0,8,12,9
"g45643",0,0,0,13,32,29
"g45644",0,0,0,22,25,24
"g45649",0,0,0,3,15,20
"g45651",0,0,0,16,42,54
"g45654",0,0,0,38,59,61
"g45655",0,0,0,5,18,30
"g45659",0,0,0,24,22,25
"g45660",0,0,3,24,58,22
"g45661",0,0,0,9,11,4
"g45662",0,0,0,30,79,48
"g45664",0,9,0,28,33,27
"g45677",0,0,0,28,87,79
"g45684",0,0,0,29,37,23
"g45685",0,5,0,19,30,27
"g45689",0,0,0,10,17,14
"g45697",0,0,0,9,11,13
"g45700",0,0,0,3,8,7
"g45730",0,3,0,39,40,25
"g45731",0,0,0,10,10,10
"g45750",0,0,0,22,13,22
"g45755",0,0,0,1,7,7
"g45757",0,12,4,30,28,61
"g45761",0,0,0,2,9,3
"g45762",0,0,0,5,41,16
"g45779",0,2,0,18,36,37
"g45783",0,0,0,10,9,9
"g45785",0,0,0,15,82,30
"g45800",0,0,0,33,51,44
"g45802",0,0,0,5,19,21
"g45809",0,0,0,22,17,15
"g45810",0,0,0,7,5,15
"g45811",0,0,0,57,82,49
"g45817",0,1,0,14,14,20
"g45834",0,2,0,3,3,4
"g45836",0,0,0,3,3,2
"g45849",0,0,0,9,10,12
"g45850",0,0,0,22,15,27
"g45856",0,0,0,54,144,88
"g45869",0,0,0,1,8,2
"g45870",0,1,1,8,9,6
"g45876",0,0,0,8,9,5
"g45878",0,0,0,62,60,50
"g45879",0,0,0,8,11,2
"g45880",0,0,0,21,36,28
"g45885",0,0,0,15,20,12
"g45886",0,0,0,51,93,42
"g45887",0,0,0,13,17,11
"g45888",0,0,0,10,11,3
"g45889",0,0,0,12,9,3
"g45890",0,0,0,26,30,10
"g45892",0,2,0,23,30,19
"g45893",0,0,0,19,10,13
"g45899",0,0,0,4,9,4
"g45900",0,0,0,16,4,4
"g45902",0,0,0,7,10,3
"g45903",0,0,0,8,7,3
"g45904",0,0,0,17,18,4
"g45905",0,0,0,23,26,19
"g45906",0,0,0,22,17,10
"g45908",0,0,1,10,8,12
"g45909",0,0,0,43,57,64
"g45910",0,0,0,9,15,12
"g45911",0,0,0,24,23,17
"g45912",0,0,0,26,40,6
"g45918",0,0,0,19,86,111
"g45920",0,2,0,0,12,20
"g45922",0,2,0,6,14,20
"g45931",0,0,0,40,62,25
"g45932",0,0,0,13,25,28
"g45933",0,0,0,12,45,23
"g45934",0,0,0,29,34,26
"g45937",0,0,0,34,40,27
"g45938",0,0,0,23,43,28
"g45939",0,0,0,27,37,23
"g45940",0,0,0,55,122,87
"g45942",0,0,0,18,61,63
"g45944",0,0,0,11,55,28
"g45945",0,0,0,14,30,21
"g45946",0,0,0,16,13,18
"g45948",0,0,0,1,12,12
"g45949",0,0,0,24,48,40
"g45950",0,0,0,11,15,11
"g45954",0,0,0,26,49,29
"g45955",0,0,0,9,23,10
"g45956",0,0,0,12,21,30
"g45957",0,0,0,12,10,17
"g45958",0,0,0,14,29,23
"g45960",0,0,0,2,11,10
"g45961",0,0,0,8,18,14
"g45962",0,0,0,14,29,19
"g45965",0,0,0,33,26,51
"g45971",0,0,0,2,8,9
"g45983",0,0,0,11,9,2
"g45984",0,0,0,8,26,5
"g46008",0,0,0,57,68,40
"g46011",0,0,0,8,9,22
"g46035",0,0,0,54,21,70
"g46054",0,0,0,4,7,16
"g46071",0,0,0,13,16,15
"g46077",0,0,0,40,54,47
"g46078",0,0,0,15,12,30
"g46081",0,0,0,6,3,18
"g46082",0,0,0,25,3,34
"g46084",0,0,3,6,2,12
"g46091",0,0,0,1,8,11
"g46093",0,0,0,3,15,25
"g46095",0,0,0,2,9,17
"g46097",0,0,0,8,38,17
"g46098",0,0,0,3,13,13
"g46099",0,0,0,5,14,16
"g46102",0,0,0,13,21,11
"g46103",0,0,0,5,17,14
"g46107",0,0,0,10,43,38
"g46108",0,0,0,13,38,20
"g46109",0,0,0,26,32,17
"g46114",0,0,0,14,64,63
"g46117",0,0,0,21,56,91
"g46118",0,0,0,4,16,28
"g46120",0,0,0,2,12,17
"g46122",0,1,1,10,19,27
"g46204",0,0,0,22,23,20
"g46205",0,0,0,3,6,4
"g46206",0,0,0,17,19,10
"g46237",0,0,0,3,3,6
"g46240",0,0,0,3,10,14
"g46247",0,0,0,24,66,32
"g46249",0,0,0,7,26,32
"g46251",0,3,0,31,36,35
"g46252",0,0,0,46,59,47
"g46256",0,0,0,26,57,43
"g46257",0,0,0,23,17,17
"g46258",0,0,0,20,30,36
"g46259",0,0,0,31,28,30
"g46260",0,0,0,13,29,28
"g46261",0,0,0,2,3,13
"g46262",0,0,0,18,3,40
"g46263",0,0,0,25,6,22
"g46264",0,0,0,33,9,30
"g46265",0,0,0,12,8,33
"g46266",0,0,0,12,2,11
"g46267",0,0,0,31,38,44
"g46268",0,3,0,74,63,109
"g46269",0,0,0,6,18,18
"g46273",0,0,0,6,19,11
"g46274",0,0,0,22,28,32
"g46281",0,0,0,14,20,18
"g46299",0,0,0,13,4,9
"g46300",0,0,3,23,27,22
"g46301",0,0,0,12,33,11
"g46322",0,0,0,6,13,4
"g46323",0,0,0,7,5,4
"g46328",0,0,0,8,5,12
"g46337",0,0,0,4,13,19
"g46355",0,0,0,6,10,6
"g46356",0,0,0,23,20,23
"g46357",0,0,0,10,10,4
"g46358",0,0,0,7,12,12
"g46372",0,0,0,13,9,10
"g46375",0,0,0,8,11,17
"g46389",0,0,2,9,10,6
"g46392",0,4,0,12,19,10
"g46401",0,0,6,6,30,22
"g46404",0,0,3,6,92,74
"g46409",0,0,0,87,69,101
"g46412",0,0,1,17,25,20
"g46413",0,0,1,7,18,0
"g46425",0,0,0,11,32,20
"g46439",0,0,1,10,22,13
"g46440",0,0,3,22,12,26
"g46441",0,2,0,13,23,16
"g46450",0,0,0,32,44,34
"g46452",0,2,0,20,49,66
"g46462",0,10,5,68,83,86
"g46488",0,4,2,11,39,25
"g46499",0,0,0,35,31,29
"g46501",0,0,0,11,16,23
"g46502",0,0,0,30,67,43
"g46505",0,0,0,31,77,18
"g46512",0,0,1,33,65,59
"g46519",0,0,0,14,13,8
"g46534",0,0,0,10,1,14
"g46535",0,0,0,33,30,32
"g46539",0,0,0,23,51,38
"g46596",0,3,2,2,10,10
"g46607",0,0,2,0,21,19
"g46610",0,0,0,6,17,24
"g46612",0,4,33,19,20,37
"g46619",0,0,0,2,58,19
"g46620",0,0,0,4,6,6
"g46626",0,0,0,6,10,12
"g46636",0,0,0,24,44,29
"g46637",0,0,0,65,47,45
"g46639",0,0,0,14,54,26
"g46640",0,0,0,24,43,54
"g46641",0,0,0,2,18,13
"g46655",0,4,0,3,28,18
"g46657",0,6,0,20,30,20
"g46690",0,0,0,18,26,21
"g46691",0,0,0,21,15,15
"g46713",0,0,0,9,13,6
"g46730",0,12,0,24,42,38
"g46762",0,0,0,7,16,7
"g46768",0,0,0,4,13,17
"g46769",0,0,0,11,15,4
"g46770",0,0,0,8,31,20
"g46773",0,0,0,18,41,28
"g46779",0,0,0,32,18,2
"g46781",0,0,3,31,106,10
"g46782",0,0,0,27,110,19
"g46787",0,0,0,9,15,5
"g46788",0,0,0,11,62,6
"g46793",0,0,0,19,30,15
"g46795",0,13,0,19,35,6
"g46803",0,0,0,7,10,6
"g46842",0,0,0,15,4,17
"g46843",0,0,0,5,8,12
"g46855",0,0,0,4,17,8
"g46873",0,20,16,13,16,23
"g46875",0,0,0,3,4,2
"g46876",0,0,0,12,13,5
"g46877",0,0,0,11,14,12
"g46878",0,0,0,22,13,14
"g46880",0,0,0,86,123,71
"g46884",0,0,0,3,6,5
"g46885",0,0,0,16,32,16
"g46896",0,0,0,12,24,25
"g46908",0,0,0,6,16,11
"g46911",0,0,2,65,41,31
"g46913",0,0,0,14,20,25
"g46916",0,2,3,8,36,30
"g46920",0,0,0,18,35,22
"g46921",0,0,0,7,27,1
"g46922",0,0,0,8,9,6
"g46923",0,0,0,6,12,8
"g46927",0,0,0,6,7,11
"g46928",0,0,0,7,9,20
"g46951",0,0,0,10,20,22
"g46967",0,0,0,42,58,77
"g46975",0,1,0,17,41,44
"g46993",0,0,1,12,8,3
"g47001",0,0,0,26,30,13
"g47002",0,0,0,12,8,4
"g47010",0,0,0,22,22,16
"g47011",0,0,0,14,21,21
"g47014",0,0,0,10,3,19
"g47017",0,2,0,15,39,32
"g47053",0,0,0,14,26,13
"g47084",0,0,0,2,4,3
"g47096",0,0,0,9,17,9
"g47097",0,0,0,24,24,16
"g47098",0,0,0,25,21,6
"g47099",0,2,4,16,36,15
"g47100",0,5,2,29,59,33
"g47115",0,0,0,6,20,3
"g47120",0,0,0,14,13,25
"g47128",0,0,0,11,13,13
"g47130",0,0,0,9,3,19
"g47131",0,0,3,7,28,12
"g47136",0,6,0,8,10,18
"g47137",0,0,0,5,16,28
"g47156",0,0,11,41,70,39
"g47158",0,0,0,3,4,7
"g47162",0,0,2,6,14,17
"g47163",0,0,0,4,9,5
"g47186",0,0,0,15,22,21
"g47211",0,0,0,19,22,9
"g47212",0,0,0,11,14,20
"g47215",0,0,0,18,35,35
"g47230",0,0,0,1,2,4
"g47250",0,0,0,3,19,24
"g47265",0,0,0,8,16,4
"g47271",0,0,0,11,22,13
"g47272",0,0,0,24,44,28
"g47274",0,0,0,12,8,15
"g47276",0,0,0,14,22,28
"g47277",0,0,0,24,43,38
"g47279",0,2,0,16,50,25
"g47280",0,2,0,0,6,21
"g47282",0,0,0,11,6,26
"g47283",0,0,0,11,17,18
"g47284",0,0,0,5,27,39
"g47285",0,0,0,16,18,13
"g47287",0,0,0,7,12,13
"g47288",0,0,0,10,5,20
"g47289",0,0,0,23,34,37
"g47290",0,0,0,8,42,18
"g47293",0,0,0,17,26,35
"g47306",0,0,0,16,43,23
"g47307",0,0,0,23,44,37
"g47309",0,0,0,5,8,9
"g47316",0,0,0,22,24,15
"g47318",0,0,0,8,5,40
"g47320",0,0,0,8,7,17
"g47321",0,0,0,2,3,18
"g47323",0,0,0,16,30,30
"g47324",0,0,3,14,17,17
"g47325",0,0,0,25,79,98
"g47327",0,0,0,20,37,105
"g47328",0,0,0,26,16,22
"g47335",0,0,0,18,20,34
"g47337",0,0,0,9,16,32
"g47339",0,0,0,7,20,17
"g47340",0,0,0,12,4,22
"g47342",0,0,0,17,20,20
"g47343",0,0,0,28,61,50
"g47349",0,0,0,3,21,14
"g47352",0,0,0,15,31,52
"g47354",0,1,0,2,8,9
"g47363",0,0,0,12,26,13
"g47376",0,0,0,7,18,12
"g47377",0,0,0,4,7,4
"g47383",0,0,0,2,8,6
"g47390",0,0,0,9,30,23
"g47391",0,5,0,12,46,13
"g47399",0,0,0,18,26,33
"g47414",0,0,6,22,18,20
"g47431",0,0,0,2,1,1
"g47483",0,0,0,8,32,24
"g47484",0,0,0,17,13,13
"g47508",0,0,0,14,18,13
"g47540",0,0,0,51,39,49
"g47541",0,0,0,11,1,23
"g47543",0,0,0,2,3,10
"g47544",0,0,0,17,8,72
"g47545",0,0,0,5,6,13
"g47546",0,0,0,8,15,25
"g47557",0,0,0,7,10,9
"g47592",0,0,10,16,34,17
"g47605",0,0,4,1,11,8
"g47606",0,6,0,11,25,17
"g47607",0,0,0,9,18,9
"g47609",0,0,0,3,11,4
"g47613",0,0,0,23,28,27
"g47617",0,2,0,25,75,46
"g47621",0,0,0,14,23,12
"g47622",0,0,0,18,7,10
"g47637",0,12,0,52,77,47
"g47638",0,0,0,45,73,59
"g47643",0,0,0,25,49,56
"g47644",0,0,0,27,41,60
"g47652",0,0,0,10,13,8
"g47659",0,5,0,8,29,13
"g47664",0,0,0,4,23,4
"g47666",0,0,6,44,13,26
"g47670",0,2,0,23,34,22
"g47671",0,0,0,14,35,27
"g47676",0,0,0,8,29,34
"g47679",0,0,4,36,62,55
"g47681",0,6,4,32,46,44
"g47682",0,0,0,7,15,7
"g47685",0,0,0,45,49,63
"g47686",0,0,0,5,1,6
"g47689",0,0,0,17,2,17
"g47712",0,0,0,7,18,87
"g47715",0,0,0,6,10,41
"g47717",0,0,0,6,4,13
"g47722",0,0,4,8,9,11
"g47723",0,0,0,28,33,36
"g47728",0,0,0,8,11,11
"g47742",0,11,0,18,44,58
"g47743",0,0,0,4,7,12
"g47746",0,0,0,15,7,18
"g47765",0,0,0,5,8,9
"g47770",0,0,0,24,16,20
"g47775",0,0,0,9,6,14
"g47777",0,0,0,17,10,19
"g47780",0,0,0,17,12,7
"g47786",0,0,0,5,5,12
"g47793",0,0,0,10,19,24
"g47805",0,0,0,3,23,9
"g47810",0,0,0,1,13,18
"g47811",0,0,0,3,16,5
"g47817",0,0,0,10,10,15
"g47821",0,0,0,22,18,15
"g47822",0,0,0,7,24,18
"g47824",0,0,0,53,104,54
"g47826",0,0,0,25,33,18
"g47827",0,0,0,7,25,12
"g47828",0,0,0,21,40,18
"g47829",0,0,0,30,43,14
"g47830",0,0,0,12,39,10
"g47835",0,0,0,18,45,19
"g47836",0,0,0,16,8,16
"g47838",0,0,0,20,50,15
"g47839",0,0,0,27,53,28
"g47843",0,0,0,22,48,21
"g47849",0,0,0,36,69,31
"g47851",0,0,0,7,24,7
"g47852",0,0,0,2,22,10
"g47853",0,0,0,6,13,14
"g47854",0,0,0,6,35,13
"g47855",0,0,0,15,17,21
"g47856",0,0,0,7,34,16
"g47857",0,0,0,11,17,17
"g47861",0,0,0,5,100,24
"g47862",0,8,0,12,35,11
"g47863",0,0,0,5,24,8
"g47864",0,0,0,10,59,30
"g47865",0,0,0,11,19,10
"g47874",0,0,0,3,9,2
"g47875",0,0,0,6,22,7
"g47876",0,0,0,21,36,19
"g47885",0,0,0,2,12,3
"g47888",0,0,0,6,61,25
"g47890",0,0,3,12,16,0
"g47892",0,3,0,67,105,64
"g47893",0,0,0,21,37,33
"g47894",0,0,0,10,24,15
"g47895",0,0,0,7,25,15
"g47897",0,0,0,1,22,33
"g47898",0,0,0,17,36,47
"g47899",0,0,0,11,46,52
"g47900",0,0,0,35,77,61
"g47903",0,0,0,13,33,25
